ClauseLikeUnit(CLU)-value,Regularity,Negation,CLUcomposite-value,CLUwithinCLU-value,CLUcomplex-value,LitTransl-value,FreeTransl-value,Duration,N-function-value,N-manual-value,N-nonmanual-value,N-position-value,HeadNegationStudy-value,CA-value,MouthGestF-value,Mouthing-value,MouthingNegation-value,NegSingleClausesMouthing-negator,RH-IDgloss-value,LH-IDgloss-value
BL03F70WHC_LH_CLU#016,Irregular,Negated clause,Single,NA,NA,me not understand,There were children signing out there and I couldn't understand any of them.,1190,Neg/reprise,Multiple,Present,other,HS,NA,"SYLL:POOH, SYLL:POOH-prog",me,Absent,Absent,"CAN-NOT, NOT-UNDERSTAND","PT:PRO1SG, CAN-NOT, NOT-UNDERSTAND"
BL03F70WHC_LH_CLU#032,?,Negated clause,Single,NA,NA,me not-understand,"As I got indoors, my Mother waved and cried bye bye, but I did not know where she was going.",1140,Neg/declarative,Single,Present,other,HS,NA,SYLL:POOH,bye-prog,Absent,Absent,NOT-UNDERSTAND,"PT:PRO1SG, NOT-UNDERSTAND"
BL03F70WHC_LH_CLU#034,?,Negated clause,Single?,NA,NA,me not-understand wander-aimlessly/me (the) not-understanding (event happened) + (me) wander-aimlessly,"As she left crying, I looked around all the children signing and could not understand what they were talking about.",1300,Neg/declarative,Single,Present,other,"Nod, HS",CA:SIGNER,SYLL:POOH,NA,Absent,N/A,"PT:PRO1SG, NOT-UNDERSTAND","PT:PRO1SG, FROM-TO"
BL03F70WHC_LH_CLU#040,?,Negated clause,Single,NA,NA,me not-understand (them/their signing),"As she left crying, I looked around all the children signing and could not understand what they were talking about.",940,Neg/declarative,Single,Present,other,NHS,NA,SYLL:POOH,me,Absent,Absent,NOT-UNDERSTAND,"PT:PRO1SG, NOT-UNDERSTAND"
BL03F70WHC_LH_CLU#088,Regular,Negated clause,Single,NA,NA,(because not) see (each other for) long time,It was emotional as I had not seen her for a long time.,1270,Neg/declarative,Absent,Present,NA,"NHS, HS, NHS",NA,NA,"mum, look, long, time",Absent,Absent,"MOTHER?, LOOK, LONG, TIME","MOTHER?, LONG, TIME"
BL03F70WHC_LH_CLU#098,Regular,Negated clause,Single,NA,NA,(we don't know what to) say..umm,It's strange as we don't know what to talk about!,3760,Neg/declarative,Absent,Present,NA,"HS1, NHS",NA,NA,don't know what,Single,don't,NA,"?SAY, PT:, PT:"
BL03F70WHC_LH_CLU#120,Regular,Negated clause,Single,NA,NA,some (people) in-debt (can't) afford well,It's the same for people who cannot afford to keep up with their payments.,1750,Neg/declarative,Absent,Present,NA,HS,NA,NA,can't afford,Single,can't,"DEBT, AFFORD, G:WELL","SOME, DEBT, AFFORD, G:WELL"
BL03F70WHC_LH_CLU#122,Regular,INDEFINITE,Single,NA,NA,their work (nothing left) well/they (no) work (anymore) well,"As they are out of work, they can't afford it so they have to sell their houses.",1310,Neg/declarative,Absent,Present,NA,"NHS, HS",NA,NA,work,Absent,N/A,"WORK, G:WELL","PT:POSS3SG, WORK, G:WELL"
BL04M74WHC_CLU#009,Irregular,Negated clause,Depend,NA,independent,me won't go to Christmas party (wasn't allowed to go) ,"I wasn't allowed to go to any Christmas parties for six years, because I was naughty.",3759,Neg/declarative,Single,Present,pre-predicate,"NHS, HS, NHS",NA,NA,"m(e), won't/wasn't, go, christ(mas), party",Single,N/A,"PT:PRO1SG, WILL-NOT, PT?, GO, FROM-TO, CHRISTMAS, PARTY ","FROM-TO, PARTY "
BL04M74WHC_CLU#050,Irregular,Negated clause,Single,NA,NA,(you) didn't know (yes),...and you didn't know...,819,Neg/response,Single,Present,other,"HS, Nod",NA,NA,don't know,Single,don't,KNOW-NOT,NA
"BL04M74WHC_CLU#058, BL04M74WHC_CLU#059",Regular,Constituent negation,DependEmbed,"pre-container, contained",independent,well nobody wanted (to) pay (the) Woolworths,"Because of the credit crunch, no one wants to buy things from them.",3350,NA,Single,Present,pre-predicate,"NHS, HS, NHS, NHS",NA,NA,"nobody, want, pay, the, Woolworths",Single,N/A,"G:WELL, NOTHING, WANT, PAY, PT:DET, SN:WOOLWORTHS","G:WELL, NOTHING, PAY, SN:WOOLWORTHS"
BL04M74WHC_CLU#065,Regular,Negated clause,Single,NA,NA,well they (don't want) buy,"No one wanted to buy Woolworths, so they had to close down.",1190,Neg/declarative,Absent,Present,NA,HS,NA,NA,"don't want, buy",Single,don't,"G:WELL, PT:PRO1SG, BUY","G:WELL, BUY"
BL04M74WHC_CLU#073,Regular,Negated clause,Single,NA,NA,(they can't) afford (it),They can't afford it,819,Neg/response,Absent,Present,NA,HS,NA,NA,can't afford,Single,can't,AFFORD,NA
BL04M74WHC_CLU#074,Regular,Negated clause,Depend?,NA,dependent,because (they can't) go (to work),They have to move out as they can't keep up with their payments as they are both out of work. ,1483,Neg/response,Absent,Present,NA,HS,NA,NA,"well?, bec(ause), can't, got",Single,N/A,"G:WELL, THROUGH, PT:PRO3SG, GO02",G:WELL
BL04M74WHC_CLU#075,Irregular,Negated clause,Depend?,NA,independent,means (they) won't pay (their mortgage),They have to move out as they can't keep up with their payments as they are both out of work. ,1619,Neg/declarative,Single,Present,pre-predicate,HS,NA,NA,"won't, pay mortgage",Single,N/A,"MEANING, WILL-NOT, PAY","MEANING, WILL-NOT, PAY"
BL04M74WHC_CLU#077,Regular,Negated clause,Single,NA,NA,well (have no) money (they don't have any money),"They can't afford their homes, so they've had to give it up and live with their parents. ",1424,Neg/declarative,Absent,Present,NA,HS,CA:YOUNG-PEOPLE,NA,no money,Single,no,"G:WELL, MONEY02","G:WELL, MONEY02"
BL04M74WHC_CLU#128,Regular,INDEFINITE,Embed,contained,NA,"no (jobs/work)/(boss) ""no-ed""",I agreed and we went but disappointedly the boss said no and that I had to wait six months.,702,Neg/response,Single,Present,other,HS,CD:BOSS,NA,no,Single,N/A,NO,NO
